movie_id, movie_name, release_date, running_time, genre, classification, spoken_language, subtitle_language, directors, casts, description, eligibility_for_discount
M001, Madharaasi, 05-09-2025, 168, Action, 16, Tamil, English, "A.R. Murugadoss", "Sivakarthikeyan|Rukmini Vasanth|Vidyut Jammwal|Biju Menon|Shabeer Kallarakkal|Vikranth", "Action-packed love drama that unfolds between a Special Task Force and a powerful North Indian mafia in Tamil Nadu.", Y
M002, "Jurassic World: Rebirth", 03-07-2025, 134, Action, 13, English, "Bahasa Melayu|Chinese", "Gareth Edwards", "Scarlett Johansson|Mahershala Ali|Jonathan Bailey|Rupert Friend|Manuel Garcia-Rulfo|Luna Blaise|David Iacono|Audrina Miranda|Philippine Velge|Bechir Sylvain|Ed Skrein", "Five years post-Jurassic World Dominion, an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthrough.", Y
M003, "Tembuni Berdarah", 25-09-2025, 87, Horror, 16, "Bahasa Melayu", English, "Ahmad Idham", "Sophia Albarakbah|Riezman Khuzaimi|Khatijah Tan|Sharifah Shahira", "Behind beauty lies a dark inheritance that cannot be erased. Dr Izani, a successful beauty expert, is forced to inherit ancestral dark arts that bind her life to an ancient curse.", Y
M004, "F1 The Movie", 26-06-2025, 156, Sports, 13, English, "Bahasa Melayu|Chinese", "Joseph Kosinski", "Brad Pitt|Kerry Condon|Javier Bardem", "Follows a Formula One driver who comes out of retirement to mentor and team with a younger driver.", Y
M005, Weapons, 07-08-2025, 129, Horror, 16, English, "Bahasa Melayu|Chinese", "Zach Cregger", "Josh Brolin|Julia Garner|Alden Ehrenreich|Benedict Wong", "An interrelated, multistory horror epic about the disappearance of high school students in a small town.", Y
M006, "The Bad Guys 2", 07-08-2025, 104, Animation, P12, English, "Bahasa Melayu|Chinese", "Pierre Perifel|JP Sans", "Anthony Ramos|Zazie Beetz|Sam Rockwell|Awkwafina|Craig Robinson|Marc Maron|Alex Borstein|Richard Ayoade|Lilly Singh", "The Bad Guys are struggling to find trust and acceptance in their newly minted lives as Good Guys, when they are pulled out of retirement and forced to do 'one last job' by an all-female squad of criminals.", Y
M007, "Demon Slayer: Kimetsu No Yaiba Infinity Castle", 14-08-2025, 156, Animation, 16, Japanese, "English|Bahasa Melayu|Chinese", "Haruo Sotozaki", "Natsuki Hanae|Yoshitsugu Matsuoka|Hiro Shimono", "Tanjiro and the Demon Slayer Corps enter the Infinity Castle for a final showdown against Muzan Kibutsuji. This marks the beginning of the climactic battle that will decide the fate of humanity.", N
M008, "A Big Bold Beautiful Journey", 18-09-2025, 110, Romance, 16, English, "Bahasa Melayu|Chinese", Kogonada, "Colin Farrell|Margot Robbie|Phoebe Waller-Bridge", "An imaginative tale of two strangers and the unbelievable journey that connects them.", N
M009, 731, 25-09-2025, 125, Drama, 18+, Mandarin, "English|Bahasa Melayu|Chinese", "Zhao Linshan", "Wang Zhiwen|Wu Jiang|Irene Wan", "Based on documented events, 731 sheds light on the horrific human experiments conducted by Japan�s Unit 731 during WWII. Told through the eyes of ordinary civilians, this gripping wartime drama ensures their untold stories are not forgotten.", N
M010, "One Battle After Another", 25-09-2025, 162, Comedy, 16, English, "Bahasa Melayu|Chinese", "Paul Thomas Anderson", "Leonardo DiCaprio|Regina Hall|Sean Penn|Alana Haim|Teyana Taylor", "When their evil nemesis resurfaces after 16 years, a band of ex-revolutionaries reunite to rescue the daughter of one of their own.", N
